Record Length,700
Sample Interval,0.000016
Trig Position,10240
Data Interval,0.000100
Vertical Units,V
Vertical Scale,CH1:2.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.005000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.400000,0.460000
2,-0.640000,0.440000
3,-0.960000,0.420000
4,-1.280000,0.420000
5,-1.600000,0.400000
6,-1.920000,0.380000
7,-2.240000,0.360000
8,-2.480000,0.360000
9,-2.720000,0.320000
10,-2.960000,0.300000
11,-3.200000,0.280000
12,-3.440000,0.240000
13,-3.680000,0.200000
14,-3.840000,0.180000
15,-4.000000,0.160000
16,-4.160000,0.140000
17,-4.320000,0.080000
18,-4.480000,0.060000
19,-4.720000,-0.080000
20,-4.720000,-0.100000
21,-4.720000,-0.040000
22,-4.880000,-0.080000
23,-4.880000,-0.080000
24,-4.960000,-0.120000
25,-4.960000,-0.140000
26,-5.040000,-0.180000
27,-4.960000,-0.200000
28,-4.960000,-0.220000
29,-4.880000,-0.240000
30,-4.800000,-0.280000
31,-4.720000,-0.300000
32,-4.640000,-0.320000
33,-4.560000,-0.360000
34,-4.320000,-0.360000
35,-4.240000,-0.380000
36,-4.080000,-0.400000
37,-3.840000,-0.420000
38,-3.600000,-0.440000
39,-3.440000,-0.440000
40,-3.200000,-0.460000
41,-2.960000,-0.460000
42,-2.640000,-0.480000
43,-2.400000,-0.480000
44,-2.160000,-0.480000
45,-1.840000,-0.460000
46,-1.440000,-0.560000
47,-1.280000,-0.540000
48,-0.880000,-0.500000
49,-0.640000,-0.500000
50,-0.240000,-0.500000
51,0.080000,-0.480000
52,0.400000,-0.440000
53,0.640000,-0.460000
54,1.040000,-0.460000
55,1.280000,-0.440000
56,1.600000,-0.400000
57,1.840000,-0.400000
58,2.240000,-0.380000
59,2.400000,-0.360000
60,2.640000,-0.320000
61,2.880000,-0.300000
62,3.200000,-0.280000
63,3.440000,-0.240000
64,3.600000,-0.220000
65,3.760000,-0.200000
66,4.000000,-0.160000
67,4.160000,-0.120000
68,4.240000,-0.100000
69,4.320000,-0.080000
70,4.560000,-0.040000
71,4.640000,0.000000
72,4.640000,0.020000
73,4.800000,0.060000
74,4.880000,0.100000
75,4.800000,0.120000
76,4.800000,0.140000
77,4.800000,0.180000
78,4.720000,0.200000
79,4.720000,0.220000
80,4.640000,0.260000
81,4.560000,0.260000
82,4.480000,0.300000
83,4.320000,0.320000
84,4.160000,0.340000
85,4.000000,0.360000
86,3.840000,0.380000
87,3.600000,0.380000
88,3.360000,0.420000
89,3.120000,0.420000
90,2.880000,0.420000
91,2.640000,0.420000
92,2.400000,0.440000
93,2.080000,0.460000
94,1.760000,0.460000
95,1.520000,0.460000
96,1.280000,0.480000
97,0.880000,0.460000
98,0.560000,0.480000
99,0.320000,0.480000
100,-0.080000,0.460000
101,-0.400000,0.460000
102,-0.720000,0.440000
103,-0.960000,0.440000
104,-1.280000,0.420000
105,-1.600000,0.400000
106,-1.840000,0.380000
107,-2.160000,0.360000
108,-2.480000,0.340000
109,-2.720000,0.320000
110,-3.040000,0.280000
111,-3.200000,0.260000
112,-3.440000,0.240000
113,-3.680000,0.220000
114,-3.840000,0.180000
115,-4.080000,0.160000
116,-4.160000,0.120000
117,-4.320000,0.100000
118,-4.480000,0.060000
119,-4.560000,0.040000
120,-4.720000,0.000000
121,-4.800000,-0.040000
122,-4.880000,-0.060000
123,-4.960000,-0.100000
124,-4.960000,-0.120000
125,-4.960000,-0.140000
126,-4.960000,-0.180000
127,-4.960000,-0.200000
128,-4.960000,-0.220000
129,-4.880000,-0.260000
130,-4.800000,-0.300000
131,-4.720000,-0.300000
132,-4.640000,-0.320000
133,-4.480000,-0.340000
134,-4.320000,-0.360000
135,-4.160000,-0.400000
136,-4.000000,-0.400000
137,-3.840000,-0.420000
138,-3.600000,-0.440000
139,-3.440000,-0.440000
140,-3.200000,-0.460000
141,-2.960000,-0.460000
142,-2.640000,-0.480000
143,-2.320000,-0.480000
144,-2.080000,-0.480000
145,-1.840000,-0.500000
146,-1.520000,-0.500000
147,-1.200000,-0.500000
148,-0.880000,-0.500000
149,-0.640000,-0.500000
150,-0.240000,-0.480000
151,0.160000,-0.480000
152,0.400000,-0.460000
153,0.640000,-0.460000
154,1.040000,-0.440000
155,1.360000,-0.440000
156,1.600000,-0.420000
157,1.840000,-0.400000
158,2.240000,-0.360000
159,2.480000,-0.360000
