Record Length,700
Sample Interval,0.000016
Trig Position,10234
Data Interval,0.000400
Vertical Units,V
Vertical Scale,CH1:1.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.020000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-1.800000,0.400000
2,-1.880000,0.380000
3,-1.920000,0.360000
4,-2.000000,0.340000
5,-2.040000,0.320000
6,-2.120000,0.300000
7,-2.160000,0.280000
8,-2.240000,0.280000
9,-2.280000,0.240000
10,-2.320000,0.240000
11,-2.400000,0.220000
12,-2.440000,0.180000
13,-2.480000,0.180000
14,-2.560000,0.160000
15,-2.600000,0.140000
16,-2.640000,0.120000
17,-2.680000,0.100000
18,-2.720000,0.080000
19,-2.760000,0.060000
20,-2.800000,0.060000
21,-2.880000,0.020000
22,-2.880000,0.000000
23,-2.920000,-0.020000
24,-2.960000,-0.020000
25,-3.000000,-0.060000
26,-3.000000,-0.060000
27,-3.040000,-0.080000
28,-3.040000,-0.100000
29,-3.080000,-0.120000
30,-3.120000,-0.140000
31,-3.120000,-0.160000
32,-3.160000,-0.180000
33,-3.160000,-0.180000
34,-3.160000,-0.200000
35,-3.160000,-0.220000
36,-3.160000,-0.260000
37,-3.200000,-0.260000
38,-3.200000,-0.280000
39,-3.200000,-0.300000
40,-3.200000,-0.320000
41,-3.200000,-0.320000
42,-3.200000,-0.360000
43,-3.160000,-0.360000
44,-3.160000,-0.380000
45,-3.160000,-0.400000
46,-3.160000,-0.400000
47,-3.160000,-0.440000
48,-3.120000,-0.440000
49,-3.120000,-0.460000
50,-3.080000,-0.480000
51,-3.080000,-0.500000
52,-3.040000,-0.500000
53,-3.040000,-0.520000
54,-3.000000,-0.540000
55,-2.960000,-0.540000
56,-2.920000,-0.580000
57,-2.880000,-0.580000
58,-2.840000,-0.580000
59,-2.800000,-0.600000
60,-2.760000,-0.620000
61,-2.720000,-0.620000
62,-2.680000,-0.640000
63,-2.640000,-0.660000
64,-2.600000,-0.660000
65,-2.560000,-0.680000
66,-2.480000,-0.680000
67,-2.400000,-0.700000
68,-2.360000,-0.700000
69,-2.320000,-0.720000
70,-2.240000,-0.720000
71,-2.160000,-0.720000
72,-2.120000,-0.740000
73,-2.040000,-0.740000
74,-2.000000,-0.760000
75,-1.920000,-0.760000
76,-1.840000,-0.760000
77,-1.760000,-0.760000
78,-1.680000,-0.780000
79,-1.640000,-0.780000
80,-1.520000,-0.800000
81,-1.440000,-0.800000
82,-1.400000,-0.800000
83,-1.280000,-0.800000
84,-1.240000,-0.800000
85,-1.160000,-0.800000
86,-1.080000,-0.800000
87,-1.000000,-0.800000
88,-0.920000,-0.800000
89,-0.840000,-0.800000
90,-0.760000,-0.800000
91,-0.680000,-0.800000
92,-0.600000,-0.800000
93,-0.520000,-0.800000
94,-0.440000,-0.800000
95,-0.360000,-0.780000
96,-0.280000,-0.780000
97,-0.200000,-0.780000
98,-0.160000,-0.780000
99,-0.080000,-0.760000
100,0.000000,-0.760000
101,0.080000,-0.740000
102,0.160000,-0.740000
103,0.240000,-0.720000
104,0.280000,-0.720000
105,0.360000,-0.700000
106,0.440000,-0.700000
107,0.520000,-0.680000
108,0.560000,-0.680000
109,0.640000,-0.660000
110,0.720000,-0.660000
111,0.800000,-0.640000
112,0.840000,-0.620000
113,0.920000,-0.620000
114,1.000000,-0.600000
115,1.080000,-0.580000
116,1.120000,-0.560000
117,1.200000,-0.560000
118,1.280000,-0.540000
119,1.320000,-0.520000
120,1.400000,-0.500000
121,1.480000,-0.480000
122,1.520000,-0.460000
123,1.600000,-0.460000
124,1.640000,-0.440000
125,1.720000,-0.420000
126,1.800000,-0.400000
127,1.840000,-0.380000
128,1.880000,-0.360000
129,1.920000,-0.340000
130,2.000000,-0.340000
131,2.040000,-0.320000
132,2.120000,-0.300000
133,2.160000,-0.280000
134,2.200000,-0.260000
135,2.280000,-0.240000
136,2.320000,-0.220000
137,2.400000,-0.200000
138,2.440000,-0.200000
139,2.480000,-0.180000
140,2.520000,-0.160000
141,2.600000,-0.140000
142,2.640000,-0.120000
143,2.640000,-0.100000
144,2.720000,-0.080000
145,2.760000,-0.060000
146,2.800000,-0.040000
147,2.840000,-0.020000
148,2.880000,0.000000
149,2.920000,0.020000
150,2.920000,0.020000
151,2.960000,0.060000
152,3.000000,0.080000
153,3.000000,0.080000
154,3.040000,0.100000
155,3.040000,0.120000
156,3.080000,0.140000
157,3.080000,0.160000
158,3.120000,0.180000
159,3.120000,0.180000
160,3.120000,0.220000
161,3.160000,0.240000
162,3.120000,0.240000
163,3.160000,0.260000
164,3.160000,0.280000
165,3.160000,0.300000
166,3.160000,0.320000
167,3.160000,0.340000
168,3.160000,0.340000
169,3.160000,0.380000
170,3.120000,0.380000
171,3.120000,0.400000
172,3.120000,0.420000
173,3.080000,0.420000
174,3.080000,0.440000
175,3.080000,0.460000
176,3.040000,0.480000
177,3.040000,0.480000
178,3.000000,0.500000
179,2.960000,0.520000
180,2.960000,0.540000
181,2.920000,0.540000
182,2.880000,0.560000
183,2.840000,0.580000
184,2.800000,0.580000
185,2.760000,0.600000
186,2.720000,0.600000
187,2.640000,0.620000
188,2.600000,0.640000
189,2.560000,0.640000
190,2.520000,0.660000
191,2.480000,0.660000
192,2.400000,0.680000
193,2.360000,0.680000
194,2.280000,0.680000
195,2.200000,0.700000
196,2.160000,0.700000
197,2.080000,0.720000
198,2.040000,0.720000
199,2.000000,0.720000
200,1.920000,0.740000
201,1.840000,0.740000
202,1.760000,0.740000
203,1.680000,0.760000
204,1.640000,0.760000
205,1.520000,0.760000
206,1.480000,0.760000
207,1.360000,0.760000
208,1.320000,0.780000
209,1.240000,0.780000
210,1.160000,0.780000
211,1.080000,0.780000
212,1.000000,0.780000
213,0.920000,0.780000
214,0.840000,0.780000
215,0.760000,0.780000
216,0.680000,0.780000
217,0.600000,0.780000
218,0.520000,0.780000
219,0.440000,0.780000
220,0.360000,0.760000
221,0.280000,0.760000
222,0.200000,0.760000
223,0.120000,0.740000
224,0.040000,0.740000
225,-0.040000,0.740000
226,-0.080000,0.720000
227,-0.200000,0.720000
228,-0.240000,0.700000
229,-0.320000,0.700000
230,-0.400000,0.680000
231,-0.480000,0.680000
232,-0.560000,0.660000
233,-0.640000,0.660000
234,-0.680000,0.640000
235,-0.760000,0.620000
236,-0.840000,0.620000
237,-0.880000,0.620000
238,-0.960000,0.600000
239,-1.040000,0.580000
240,-1.120000,0.560000
241,-1.200000,0.540000
242,-1.240000,0.540000
243,-1.320000,0.520000
244,-1.360000,0.500000
245,-1.440000,0.500000
246,-1.520000,0.480000
247,-1.560000,0.460000
248,-1.640000,0.440000
249,-1.720000,0.420000
250,-1.760000,0.400000
251,-1.840000,0.400000
252,-1.880000,0.380000
253,-1.920000,0.360000
254,-2.000000,0.340000
255,-2.080000,0.320000
256,-2.120000,0.320000
257,-2.160000,0.300000
258,-2.240000,0.280000
259,-2.280000,0.260000
260,-2.320000,0.240000
261,-2.400000,0.220000
262,-2.440000,0.200000
263,-2.520000,0.180000
264,-2.560000,0.160000
265,-2.600000,0.140000
266,-2.640000,0.120000
267,-2.680000,0.100000
268,-2.720000,0.080000
269,-2.760000,0.080000
270,-2.800000,0.060000
271,-2.840000,0.040000
272,-2.880000,0.020000
