Record Length,700
Sample Interval,0.000002
Trig Position,10212
Data Interval,0.000020
Vertical Units,V
Vertical Scale,CH1:0.500000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.001000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.760000,-0.060000
2,-0.780000,-0.080000
3,-0.800000,-0.100000
4,-0.840000,-0.120000
5,-0.860000,-0.160000
6,-0.880000,-0.180000
7,-0.900000,-0.200000
8,-0.920000,-0.220000
9,-0.940000,-0.240000
10,-0.960000,-0.280000
11,-0.980000,-0.300000
12,-1.000000,-0.320000
13,-1.020000,-0.340000
14,-1.040000,-0.360000
15,-1.060000,-0.380000
16,-1.080000,-0.400000
17,-1.080000,-0.440000
18,-1.100000,-0.460000
19,-1.120000,-0.480000
20,-1.120000,-0.500000
21,-1.140000,-0.520000
22,-1.140000,-0.540000
23,-1.160000,-0.560000
24,-1.180000,-0.580000
25,-1.180000,-0.600000
26,-1.180000,-0.620000
27,-1.200000,-0.640000
28,-1.200000,-0.660000
29,-1.220000,-0.680000
30,-1.220000,-0.700000
31,-1.220000,-0.720000
32,-1.240000,-0.720000
33,-1.240000,-0.740000
34,-1.240000,-0.760000
35,-1.240000,-0.780000
36,-1.240000,-0.780000
37,-1.240000,-0.800000
38,-1.240000,-0.820000
39,-1.240000,-0.840000
40,-1.240000,-0.840000
41,-1.240000,-0.860000
42,-1.240000,-0.860000
43,-1.240000,-0.880000
44,-1.220000,-0.900000
45,-1.220000,-0.900000
46,-1.220000,-0.920000
47,-1.200000,-0.920000
48,-1.200000,-0.920000
49,-1.180000,-0.940000
50,-1.180000,-0.940000
51,-1.180000,-0.960000
52,-1.160000,-0.960000
53,-1.160000,-0.960000
54,-1.140000,-0.960000
55,-1.120000,-0.980000
56,-1.100000,-0.960000
57,-1.080000,-0.960000
58,-1.080000,-0.980000
59,-1.060000,-0.980000
60,-1.040000,-0.980000
61,-1.020000,-0.980000
62,-1.020000,-0.980000
63,-1.000000,-1.000000
64,-0.980000,-1.000000
65,-0.960000,-1.000000
66,-0.940000,-0.980000
67,-0.920000,-0.980000
68,-0.900000,-0.980000
69,-0.880000,-0.980000
70,-0.840000,-0.960000
71,-0.840000,-0.960000
72,-0.800000,-0.960000
73,-0.780000,-0.960000
74,-0.760000,-0.940000
75,-0.720000,-0.940000
76,-0.700000,-0.920000
77,-0.680000,-0.920000
78,-0.640000,-0.900000
79,-0.620000,-0.900000
80,-0.600000,-0.880000
81,-0.560000,-0.880000
82,-0.540000,-0.860000
83,-0.520000,-0.860000
84,-0.480000,-0.840000
85,-0.460000,-0.820000
86,-0.420000,-0.820000
87,-0.400000,-0.800000
88,-0.380000,-0.780000
89,-0.340000,-0.760000
90,-0.320000,-0.760000
91,-0.280000,-0.740000
92,-0.240000,-0.700000
93,-0.220000,-0.700000
94,-0.180000,-0.680000
95,-0.140000,-0.660000
96,-0.120000,-0.640000
97,-0.100000,-0.620000
98,-0.060000,-0.600000
99,-0.040000,-0.580000
100,0.000000,-0.560000
101,0.040000,-0.560000
102,0.060000,-0.540000
103,0.100000,-0.500000
104,0.120000,-0.500000
105,0.160000,-0.460000
106,0.180000,-0.440000
107,0.220000,-0.420000
108,0.260000,-0.400000
109,0.280000,-0.380000
110,0.300000,-0.360000
111,0.340000,-0.320000
112,0.380000,-0.300000
113,0.400000,-0.280000
114,0.440000,-0.260000
115,0.460000,-0.240000
116,0.480000,-0.200000
117,0.520000,-0.180000
118,0.540000,-0.160000
119,0.560000,-0.140000
120,0.600000,-0.120000
121,0.620000,-0.080000
122,0.640000,-0.060000
123,0.680000,-0.040000
124,0.700000,-0.020000
125,0.720000,0.020000
126,0.740000,0.040000
127,0.780000,0.060000
128,0.800000,0.080000
129,0.820000,0.100000
130,0.840000,0.120000
131,0.860000,0.160000
132,0.880000,0.180000
133,0.920000,0.200000
134,0.920000,0.220000
135,0.960000,0.260000
136,0.980000,0.280000
137,1.000000,0.300000
138,1.000000,0.320000
139,1.020000,0.340000
140,1.040000,0.360000
141,1.040000,0.380000
142,1.060000,0.400000
143,1.080000,0.420000
144,1.100000,0.440000
145,1.120000,0.460000
146,1.120000,0.500000
147,1.140000,0.520000
148,1.140000,0.540000
149,1.160000,0.560000
150,1.160000,0.580000
151,1.180000,0.580000
152,1.180000,0.620000
153,1.200000,0.620000
154,1.200000,0.660000
155,1.200000,0.660000
156,1.200000,0.680000
157,1.220000,0.700000
158,1.220000,0.720000
159,1.220000,0.720000
160,1.220000,0.740000
161,1.220000,0.760000
162,1.220000,0.780000
163,1.220000,0.800000
164,1.220000,0.800000
165,1.220000,0.820000
166,1.220000,0.820000
167,1.220000,0.840000
168,1.220000,0.840000
169,1.200000,0.860000
170,1.200000,0.880000
171,1.200000,0.880000
172,1.200000,0.900000
173,1.200000,0.900000
174,1.180000,0.920000
175,1.180000,0.920000
176,1.160000,0.920000
177,1.140000,0.940000
178,1.140000,0.940000
179,1.120000,0.940000
180,1.100000,0.940000
181,1.100000,0.940000
182,1.080000,0.960000
183,1.060000,0.960000
184,1.060000,0.960000
185,1.040000,0.960000
186,1.020000,0.960000
187,1.000000,0.960000
188,0.980000,0.960000
189,0.960000,0.960000
190,0.960000,0.960000
191,0.920000,0.960000
192,0.900000,0.960000
193,0.880000,0.940000
194,0.860000,0.940000
195,0.840000,0.940000
196,0.820000,0.940000
197,0.800000,0.920000
198,0.760000,0.920000
199,0.740000,0.920000
200,0.720000,0.900000
201,0.700000,0.900000
202,0.660000,0.900000
203,0.640000,0.880000
204,0.620000,0.880000
205,0.600000,0.860000
206,0.560000,0.840000
207,0.540000,0.840000
208,0.500000,0.820000
209,0.480000,0.800000
210,0.440000,0.800000
211,0.400000,0.780000
212,0.380000,0.760000
213,0.360000,0.760000
214,0.320000,0.740000
215,0.300000,0.740000
216,0.280000,0.720000
217,0.240000,0.700000
218,0.200000,0.680000
219,0.180000,0.660000
220,0.140000,0.640000
221,0.120000,0.620000
222,0.080000,0.600000
223,0.060000,0.580000
224,0.020000,0.560000
225,0.000000,0.540000
226,-0.040000,0.520000
227,-0.080000,0.500000
228,-0.100000,0.480000
229,-0.140000,0.460000
230,-0.160000,0.440000
231,-0.200000,0.420000
232,-0.240000,0.400000
233,-0.280000,0.360000
234,-0.300000,0.340000
235,-0.320000,0.320000
236,-0.360000,0.300000
237,-0.380000,0.280000
238,-0.400000,0.260000
239,-0.440000,0.240000
240,-0.460000,0.220000
241,-0.480000,0.200000
242,-0.520000,0.160000
243,-0.560000,0.140000
244,-0.580000,0.100000
245,-0.620000,0.080000
246,-0.640000,0.060000
247,-0.660000,0.040000
248,-0.680000,0.020000
249,-0.700000,0.000000
250,-0.720000,-0.020000
251,-0.760000,-0.040000
252,-0.780000,-0.080000
253,-0.800000,-0.100000
254,-0.820000,-0.120000
255,-0.860000,-0.160000
256,-0.880000,-0.180000
257,-0.900000,-0.200000
258,-0.920000,-0.220000
259,-0.940000,-0.260000
260,-0.960000,-0.280000
261,-0.980000,-0.300000
262,-1.000000,-0.320000
263,-1.020000,-0.340000
264,-1.040000,-0.360000
265,-1.060000,-0.380000
266,-1.060000,-0.420000
267,-1.080000,-0.440000
268,-1.100000,-0.460000
269,-1.120000,-0.480000
270,-1.140000,-0.500000
271,-1.140000,-0.520000
272,-1.160000,-0.540000
273,-1.160000,-0.560000
274,-1.180000,-0.580000
275,-1.180000,-0.600000
276,-1.180000,-0.620000
277,-1.200000,-0.640000
278,-1.200000,-0.660000
279,-1.200000,-0.660000
280,-1.220000,-0.680000
281,-1.220000,-0.700000
282,-1.240000,-0.720000
283,-1.240000,-0.740000
284,-1.240000,-0.760000
285,-1.240000,-0.780000
286,-1.240000,-0.780000
287,-1.240000,-0.800000
288,-1.240000,-0.820000
289,-1.240000,-0.840000
290,-1.240000,-0.840000
291,-1.240000,-0.860000
