Record Length,700
Sample Interval,0.000080
Trig Position,10208
Data Interval,0.001000
Vertical Units,V
Vertical Scale,CH1:5.000000,CH2:1.000000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.050000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.200000,0.520000
2,-0.400000,0.480000
3,-0.800000,0.480000
4,-1.000000,0.480000
5,-1.200000,0.440000
6,-1.400000,0.440000
7,-1.600000,0.360000
8,-1.800000,0.360000
9,-2.200000,0.320000
10,-2.200000,0.320000
11,-2.600000,0.240000
12,-2.800000,0.240000
13,-3.000000,0.200000
14,-3.200000,0.160000
15,-3.200000,0.160000
16,-3.600000,0.080000
17,-3.600000,0.040000
18,-3.600000,0.040000
19,-3.800000,-0.040000
20,-4.000000,-0.080000
21,-4.000000,-0.080000
22,-4.000000,-0.120000
23,-4.200000,-0.160000
24,-4.200000,-0.200000
25,-4.200000,-0.240000
26,-4.200000,-0.280000
27,-4.200000,-0.320000
28,-4.200000,-0.360000
29,-4.200000,-0.360000
30,-4.200000,-0.400000
31,-4.000000,-0.440000
32,-4.000000,-0.440000
33,-3.800000,-0.480000
34,-3.800000,-0.520000
35,-3.600000,-0.560000
36,-3.600000,-0.560000
37,-3.400000,-0.600000
38,-3.200000,-0.600000
39,-3.000000,-0.680000
40,-2.800000,-0.640000
41,-2.600000,-0.640000
42,-2.200000,-0.640000
43,-2.000000,-0.680000
44,-1.800000,-0.680000
45,-1.600000,-0.680000
46,-1.200000,-0.680000
47,-1.000000,-0.680000
48,-0.600000,-0.680000
49,-0.600000,-0.680000
50,-0.200000,-0.680000
51,0.000000,-0.680000
52,0.400000,-0.680000
53,0.600000,-0.640000
54,0.800000,-0.600000
55,1.200000,-0.600000
56,1.400000,-0.720000
57,1.600000,-0.560000
58,1.800000,-0.520000
59,2.000000,-0.520000
60,2.200000,-0.440000
61,2.600000,-0.400000
62,2.800000,-0.360000
63,2.800000,-0.320000
64,3.200000,-0.320000
65,3.200000,-0.280000
66,3.400000,-0.240000
67,3.600000,-0.240000
68,3.800000,-0.200000
69,3.800000,-0.160000
70,4.000000,-0.120000
71,4.000000,-0.080000
72,4.000000,-0.040000
73,4.200000,0.000000
74,4.200000,0.040000
75,4.400000,0.080000
76,4.200000,0.120000
77,4.200000,0.160000
78,4.200000,0.200000
79,4.000000,0.200000
80,4.200000,0.240000
81,4.200000,0.280000
82,4.000000,0.320000
83,3.800000,0.320000
84,3.800000,0.360000
85,3.600000,0.400000
86,3.400000,0.400000
87,3.400000,0.400000
88,3.200000,0.440000
89,3.000000,0.440000
90,2.600000,0.480000
91,2.400000,0.520000
92,2.200000,0.520000
93,2.000000,0.520000
94,1.600000,0.520000
95,1.400000,0.520000
96,1.200000,0.480000
97,1.000000,0.520000
98,0.600000,0.520000
99,0.400000,0.520000
100,0.200000,0.520000
101,-0.200000,0.520000
102,-0.400000,0.480000
103,-0.600000,0.480000
104,-1.000000,0.480000
105,-1.200000,0.440000
106,-1.400000,0.400000
107,-1.600000,0.400000
108,-2.000000,0.360000
109,-2.200000,0.320000
110,-2.200000,0.280000
111,-2.400000,0.280000
112,-2.800000,0.200000
113,-3.000000,0.200000
114,-3.200000,0.160000
115,-3.200000,0.160000
116,-3.400000,0.040000
117,-3.600000,0.040000
118,-3.600000,0.000000
119,-3.800000,-0.080000
120,-4.000000,-0.040000
121,-4.000000,-0.080000
122,-4.000000,-0.160000
123,-4.200000,-0.160000
124,-4.200000,-0.200000
125,-4.200000,-0.240000
126,-4.200000,-0.280000
127,-4.200000,-0.280000
128,-4.200000,-0.320000
129,-4.200000,-0.360000
130,-4.000000,-0.400000
131,-4.000000,-0.400000
132,-4.000000,-0.440000
133,-3.800000,-0.480000
134,-3.800000,-0.520000
135,-3.600000,-0.560000
136,-3.600000,-0.640000
137,-3.400000,-0.560000
138,-3.200000,-0.600000
139,-3.000000,-0.680000
140,-2.800000,-0.600000
141,-2.600000,-0.640000
142,-2.200000,-0.640000
143,-2.000000,-0.640000
144,-1.800000,-0.680000
145,-1.600000,-0.680000
146,-1.400000,-0.680000
147,-1.000000,-0.680000
148,-0.800000,-0.680000
149,-0.400000,-0.680000
150,-0.200000,-0.680000
151,0.200000,-0.640000
152,0.400000,-0.640000
153,0.600000,-0.640000
154,0.800000,-0.640000
155,1.000000,-0.600000
156,1.400000,-0.600000
157,1.600000,-0.560000
158,1.800000,-0.520000
159,2.000000,-0.520000
160,2.200000,-0.440000
161,2.600000,-0.440000
162,2.800000,-0.360000
163,3.000000,-0.360000
164,3.000000,-0.320000
165,3.200000,-0.280000
166,3.400000,-0.240000
167,3.600000,-0.200000
168,3.800000,-0.160000
169,3.800000,-0.120000
170,4.000000,-0.120000
171,4.000000,-0.040000
172,4.200000,-0.040000
173,4.200000,0.040000
174,4.200000,0.080000
175,4.200000,0.080000
176,4.200000,0.120000
177,4.200000,0.080000
178,4.200000,0.160000
179,4.200000,0.200000
180,4.200000,0.240000
181,4.000000,0.280000
182,4.000000,0.280000
183,3.800000,0.320000
184,3.800000,0.360000
185,3.600000,0.400000
186,3.400000,0.400000
187,3.400000,0.400000
188,3.200000,0.440000
189,3.000000,0.440000
190,2.800000,0.480000
191,2.600000,0.480000
192,2.200000,0.520000
193,2.000000,0.520000
194,1.800000,0.520000
195,1.400000,0.560000
196,1.200000,0.520000
197,1.000000,0.520000
198,0.800000,0.520000
199,0.200000,0.520000
200,0.200000,0.520000
201,-0.200000,0.520000
202,-0.400000,0.480000
203,-0.800000,0.440000
204,-1.000000,0.480000
205,-1.200000,0.440000
206,-1.400000,0.400000
207,-1.600000,0.360000
208,-2.000000,0.360000
209,-2.200000,0.360000
210,-2.400000,0.280000
211,-2.600000,0.280000
212,-2.800000,0.240000
213,-3.000000,0.160000
214,-3.200000,0.160000
215,-3.200000,0.120000
216,-3.400000,0.080000
217,-3.600000,-0.040000
218,-3.800000,0.000000
219,-3.800000,0.000000
220,-4.000000,-0.120000
221,-4.000000,-0.120000
222,-4.000000,-0.120000
223,-4.200000,-0.160000
224,-4.200000,-0.200000
225,-4.200000,-0.240000
226,-4.200000,-0.280000
227,-4.200000,-0.280000
228,-4.200000,-0.320000
229,-4.200000,-0.360000
230,-4.200000,-0.400000
231,-4.000000,-0.440000
232,-4.000000,-0.440000
233,-3.800000,-0.480000
234,-3.800000,-0.520000
235,-3.600000,-0.520000
236,-3.600000,-0.560000
237,-3.400000,-0.640000
238,-3.200000,-0.600000
239,-3.000000,-0.600000
240,-2.800000,-0.680000
241,-2.600000,-0.640000
242,-2.200000,-0.680000
243,-2.000000,-0.680000
244,-1.800000,-0.680000
245,-1.600000,-0.680000
246,-1.200000,-0.680000
247,-1.000000,-0.680000
248,-0.800000,-0.680000
249,-0.600000,-0.680000
250,-0.200000,-0.640000
251,0.000000,-0.640000
252,0.400000,-0.640000
253,0.600000,-0.640000
254,0.800000,-0.600000
255,1.200000,-0.600000
256,1.400000,-0.560000
257,1.600000,-0.600000
258,1.800000,-0.480000
259,2.000000,-0.520000
260,2.400000,-0.480000
261,2.400000,-0.440000
