Record Length,700
Sample Interval,0.000016
Trig Position,10242
Data Interval,0.000100
Vertical Units,V
Vertical Scale,CH1:2.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.005000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.480000,0.340000
2,-0.800000,0.320000
3,-1.120000,0.320000
4,-1.440000,0.300000
5,-1.760000,0.300000
6,-2.080000,0.280000
7,-2.400000,0.260000
8,-2.640000,0.240000
9,-3.040000,0.240000
10,-3.360000,0.220000
11,-3.520000,0.200000
12,-3.760000,0.180000
13,-4.000000,0.160000
14,-4.240000,0.140000
15,-4.400000,0.120000
16,-4.560000,0.100000
17,-4.720000,0.080000
18,-4.880000,0.040000
19,-5.040000,0.040000
20,-5.200000,0.000000
21,-5.280000,-0.040000
22,-5.360000,-0.060000
23,-5.360000,-0.080000
24,-5.440000,-0.100000
25,-5.440000,-0.120000
26,-5.360000,-0.140000
27,-5.360000,-0.160000
28,-5.360000,-0.160000
29,-5.280000,-0.200000
30,-5.200000,-0.220000
31,-5.120000,-0.220000
32,-5.040000,-0.240000
33,-4.880000,-0.260000
34,-4.720000,-0.280000
35,-4.480000,-0.280000
36,-4.320000,-0.300000
37,-4.160000,-0.320000
38,-3.920000,-0.340000
39,-3.680000,-0.340000
40,-3.440000,-0.340000
41,-3.200000,-0.360000
42,-2.880000,-0.360000
43,-2.480000,-0.360000
44,-2.240000,-0.380000
45,-1.920000,-0.380000
46,-1.600000,-0.380000
47,-1.200000,-0.380000
48,-0.880000,-0.380000
49,-0.560000,-0.380000
50,-0.320000,-0.360000
51,0.080000,-0.360000
52,0.480000,-0.360000
53,0.720000,-0.360000
54,1.120000,-0.340000
55,1.440000,-0.320000
56,1.760000,-0.300000
57,2.080000,-0.300000
58,2.400000,-0.280000
59,2.640000,-0.260000
60,2.960000,-0.320000
61,3.120000,-0.360000
62,3.600000,-0.200000
63,3.760000,-0.200000
64,3.920000,-0.160000
65,4.160000,-0.140000
66,4.320000,-0.120000
67,4.560000,-0.100000
68,4.720000,-0.080000
69,4.880000,-0.060000
70,4.960000,-0.040000
71,5.120000,0.000000
72,5.200000,0.000000
73,5.200000,0.040000
74,5.280000,0.060000
75,5.280000,0.100000
76,5.280000,0.100000
77,5.280000,0.120000
78,5.200000,0.140000
79,5.120000,0.160000
80,5.120000,0.180000
81,4.960000,0.200000
82,4.800000,0.200000
83,4.640000,0.240000
84,4.480000,0.240000
85,4.240000,0.260000
86,4.080000,0.280000
87,3.920000,0.340000
88,3.600000,0.240000
89,3.440000,0.260000
90,3.120000,0.320000
91,2.800000,0.320000
92,2.560000,0.320000
93,2.160000,0.340000
94,1.920000,0.360000
95,1.600000,0.340000
96,1.280000,0.340000
97,0.960000,0.340000
98,0.560000,0.360000
99,0.240000,0.360000
100,-0.080000,0.340000
101,-0.480000,0.340000
102,-0.800000,0.340000
103,-1.120000,0.320000
104,-1.360000,0.320000
105,-1.760000,0.300000
106,-2.160000,0.300000
107,-2.400000,0.260000
108,-2.640000,0.260000
109,-3.040000,0.240000
110,-3.360000,0.220000
111,-3.520000,0.200000
112,-3.760000,0.180000
113,-4.000000,0.160000
114,-4.240000,0.140000
115,-4.400000,0.100000
116,-4.560000,0.100000
117,-4.800000,0.080000
118,-4.960000,0.040000
119,-5.040000,0.020000
120,-5.200000,0.000000
121,-5.280000,-0.020000
122,-5.360000,-0.040000
123,-5.360000,-0.080000
124,-5.440000,-0.100000
125,-5.440000,-0.100000
126,-5.440000,-0.140000
127,-5.360000,-0.160000
128,-5.360000,-0.180000
129,-5.280000,-0.200000
130,-5.280000,-0.220000
131,-5.120000,-0.220000
132,-4.960000,-0.240000
133,-4.880000,-0.260000
134,-4.720000,-0.280000
135,-4.480000,-0.300000
136,-4.320000,-0.300000
137,-4.080000,-0.320000
138,-4.000000,-0.320000
139,-3.680000,-0.340000
140,-3.440000,-0.360000
141,-3.120000,-0.360000
142,-2.800000,-0.360000
143,-2.560000,-0.360000
144,-2.240000,-0.360000
145,-1.920000,-0.380000
146,-1.600000,-0.380000
147,-1.200000,-0.380000
148,-0.880000,-0.380000
149,-0.560000,-0.380000
150,-0.240000,-0.360000
151,0.160000,-0.360000
152,0.480000,-0.360000
153,0.720000,-0.360000
154,1.120000,-0.360000
155,1.440000,-0.320000
156,1.760000,-0.320000
157,2.080000,-0.300000
158,2.400000,-0.300000
159,2.720000,-0.280000
