Record Length,700
Sample Interval,0.000080
Trig Position,10212
Data Interval,0.001000
Vertical Units,V
Vertical Scale,CH1:5.000000,CH2:1.000000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.050000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.200000,0.280000
2,-0.400000,0.280000
3,-0.800000,0.280000
4,-1.000000,0.280000
5,-1.400000,0.280000
6,-1.600000,0.240000
7,-2.000000,0.240000
8,-2.200000,0.240000
9,-2.600000,0.200000
10,-3.000000,0.200000
11,-3.200000,0.080000
12,-3.400000,0.160000
13,-3.600000,0.160000
14,-3.800000,0.080000
15,-4.200000,0.080000
16,-4.400000,0.080000
17,-4.600000,0.040000
18,-4.600000,0.040000
19,-4.800000,0.040000
20,-5.000000,0.000000
21,-5.000000,-0.040000
22,-5.200000,-0.040000
23,-5.200000,-0.080000
24,-5.200000,-0.080000
25,-5.400000,-0.120000
26,-5.200000,-0.120000
27,-5.200000,-0.160000
28,-5.200000,-0.160000
29,-5.200000,-0.200000
30,-5.200000,-0.240000
31,-5.000000,-0.240000
32,-5.000000,-0.320000
33,-4.800000,-0.280000
34,-4.600000,-0.320000
35,-4.400000,-0.280000
36,-4.200000,-0.320000
37,-4.000000,-0.320000
38,-3.800000,-0.320000
39,-3.600000,-0.360000
40,-3.400000,-0.400000
41,-3.000000,-0.360000
42,-2.800000,-0.400000
43,-2.600000,-0.400000
44,-2.200000,-0.400000
45,-1.800000,-0.400000
46,-1.600000,-0.400000
47,-1.200000,-0.440000
48,-1.000000,-0.400000
49,-0.600000,-0.400000
50,-0.200000,-0.400000
51,0.000000,-0.400000
52,0.400000,-0.400000
53,0.800000,-0.400000
54,1.200000,-0.360000
55,1.400000,-0.400000
56,1.800000,-0.360000
57,2.200000,-0.360000
58,2.400000,-0.320000
59,2.800000,-0.360000
60,3.000000,-0.320000
61,3.400000,-0.280000
62,3.600000,-0.280000
63,3.800000,-0.280000
64,4.000000,-0.240000
65,4.200000,-0.200000
66,4.400000,-0.200000
67,4.600000,-0.160000
68,4.800000,-0.160000
69,5.000000,-0.120000
70,5.200000,-0.080000
71,5.200000,-0.080000
72,5.400000,-0.120000
73,5.400000,-0.040000
74,5.400000,-0.040000
75,5.400000,-0.080000
76,5.600000,0.040000
77,5.600000,0.040000
78,5.400000,0.080000
79,5.400000,0.080000
80,5.200000,0.080000
81,5.200000,0.120000
82,5.200000,0.160000
83,5.000000,0.160000
84,4.800000,0.160000
85,4.600000,0.160000
86,4.400000,0.200000
87,4.200000,0.240000
88,4.000000,0.240000
89,3.600000,0.240000
90,3.400000,0.240000
91,3.200000,0.240000
92,2.800000,0.240000
93,2.600000,0.280000
94,2.200000,0.280000
95,1.800000,0.240000
96,1.600000,0.280000
97,1.200000,0.280000
98,1.000000,0.320000
99,0.600000,0.280000
100,0.200000,0.280000
101,-0.200000,0.280000
102,-0.400000,0.280000
103,-0.800000,0.280000
104,-1.200000,0.280000
105,-1.400000,0.280000
106,-1.800000,0.240000
107,-2.000000,0.200000
108,-2.400000,0.200000
109,-2.600000,0.200000
110,-2.800000,0.200000
111,-3.200000,0.200000
112,-3.400000,0.160000
113,-3.600000,0.080000
114,-3.800000,0.120000
115,-4.000000,0.040000
116,-4.400000,0.080000
117,-4.400000,0.040000
118,-4.600000,0.040000
119,-4.800000,0.040000
120,-5.000000,0.000000
121,-5.000000,0.000000
122,-5.200000,-0.080000
123,-5.200000,-0.080000
124,-5.200000,-0.120000
125,-5.400000,-0.160000
126,-5.200000,-0.120000
127,-5.200000,-0.160000
128,-5.200000,-0.160000
129,-5.200000,-0.200000
130,-5.200000,-0.240000
131,-5.000000,-0.240000
132,-5.000000,-0.280000
133,-4.800000,-0.360000
134,-4.600000,-0.280000
135,-4.400000,-0.320000
136,-4.200000,-0.360000
137,-4.000000,-0.320000
138,-3.800000,-0.360000
139,-3.600000,-0.360000
140,-3.400000,-0.360000
141,-3.200000,-0.400000
142,-2.800000,-0.360000
143,-2.600000,-0.400000
144,-2.200000,-0.400000
145,-2.000000,-0.400000
146,-1.600000,-0.400000
147,-1.200000,-0.400000
148,-0.800000,-0.400000
149,-0.600000,-0.400000
150,-0.200000,-0.400000
151,0.200000,-0.400000
152,0.600000,-0.400000
153,0.800000,-0.400000
154,1.200000,-0.400000
155,1.600000,-0.360000
156,1.800000,-0.360000
157,2.200000,-0.400000
158,2.400000,-0.320000
159,2.800000,-0.320000
160,3.000000,-0.280000
161,3.400000,-0.280000
162,3.600000,-0.240000
163,3.800000,-0.240000
164,4.000000,-0.240000
165,4.200000,-0.200000
166,4.400000,-0.200000
167,4.600000,-0.160000
168,4.800000,-0.120000
169,5.000000,-0.160000
170,5.200000,-0.120000
171,5.200000,-0.080000
172,5.200000,-0.080000
173,5.400000,-0.080000
174,5.400000,0.000000
175,5.400000,0.000000
176,5.600000,0.040000
177,5.400000,0.040000
178,5.400000,0.000000
179,5.400000,0.080000
180,5.400000,0.120000
181,5.200000,0.120000
182,5.000000,0.160000
183,5.000000,0.160000
184,4.800000,0.200000
185,4.600000,0.200000
186,4.400000,0.200000
187,4.200000,0.240000
188,4.000000,0.240000
189,3.600000,0.240000
190,3.400000,0.280000
191,3.200000,0.240000
192,3.000000,0.280000
193,2.600000,0.280000
194,2.200000,0.240000
195,1.800000,0.280000
196,1.600000,0.280000
197,1.200000,0.280000
198,1.000000,0.240000
199,0.400000,0.280000
200,0.200000,0.280000
201,0.000000,0.280000
202,-0.400000,0.280000
203,-0.800000,0.240000
204,-1.000000,0.280000
205,-1.400000,0.280000
206,-1.600000,0.240000
207,-2.000000,0.240000
208,-2.400000,0.240000
209,-2.600000,0.200000
210,-3.000000,0.200000
211,-3.200000,0.200000
212,-3.400000,0.160000
213,-3.800000,0.160000
214,-3.800000,0.120000
215,-4.200000,0.080000
216,-4.400000,-0.040000
217,-4.600000,0.080000
218,-4.600000,0.040000
219,-4.800000,-0.040000
220,-5.000000,0.000000
221,-5.000000,-0.040000
222,-5.200000,-0.080000
223,-5.200000,-0.080000
224,-5.200000,-0.080000
225,-5.400000,-0.120000
226,-5.200000,-0.120000
227,-5.200000,-0.200000
228,-5.200000,-0.200000
229,-5.200000,-0.240000
230,-5.200000,-0.240000
231,-5.000000,-0.240000
232,-4.800000,-0.280000
233,-4.800000,-0.280000
234,-4.600000,-0.280000
235,-4.400000,-0.320000
236,-4.200000,-0.320000
237,-4.200000,-0.440000
238,-3.800000,-0.360000
239,-3.600000,-0.360000
240,-3.400000,-0.440000
241,-3.200000,-0.360000
242,-2.800000,-0.400000
243,-2.600000,-0.400000
244,-2.200000,-0.400000
245,-1.800000,-0.400000
246,-1.600000,-0.400000
247,-1.400000,-0.400000
248,-0.800000,-0.400000
249,-0.600000,-0.400000
250,-0.200000,-0.400000
251,0.000000,-0.400000
252,0.600000,-0.400000
253,0.800000,-0.400000
254,1.000000,-0.400000
255,1.400000,-0.360000
256,1.800000,-0.360000
257,2.200000,-0.360000
258,2.400000,-0.320000
259,2.800000,-0.320000
260,3.000000,-0.320000
261,3.200000,-0.320000
