Record Length,700
Sample Interval,0.000002
Trig Position,10227
Data Interval,0.000020
Vertical Units,V
Vertical Scale,CH1:1.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.001000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-1.720000,0.440000
2,-1.760000,0.420000
3,-1.800000,0.420000
4,-1.880000,0.400000
5,-1.920000,0.380000
6,-1.960000,0.360000
7,-2.000000,0.340000
8,-2.080000,0.320000
9,-2.080000,0.300000
10,-2.160000,0.280000
11,-2.200000,0.260000
12,-2.240000,0.220000
13,-2.280000,0.200000
14,-2.320000,0.180000
15,-2.360000,0.160000
16,-2.400000,0.140000
17,-2.440000,0.120000
18,-2.480000,0.100000
19,-2.480000,0.080000
20,-2.520000,0.060000
21,-2.560000,0.040000
22,-2.600000,0.020000
23,-2.640000,0.000000
24,-2.640000,-0.040000
25,-2.680000,-0.060000
26,-2.680000,-0.080000
27,-2.680000,-0.100000
28,-2.720000,-0.120000
29,-2.720000,-0.140000
30,-2.760000,-0.160000
31,-2.760000,-0.180000
32,-2.760000,-0.220000
33,-2.760000,-0.240000
34,-2.800000,-0.260000
35,-2.800000,-0.280000
36,-2.800000,-0.300000
37,-2.800000,-0.320000
38,-2.800000,-0.340000
39,-2.800000,-0.360000
40,-2.800000,-0.380000
41,-2.760000,-0.400000
42,-2.760000,-0.420000
43,-2.760000,-0.440000
44,-2.760000,-0.460000
45,-2.760000,-0.480000
46,-2.760000,-0.500000
47,-2.720000,-0.520000
48,-2.720000,-0.540000
49,-2.680000,-0.540000
50,-2.680000,-0.580000
51,-2.640000,-0.580000
52,-2.640000,-0.600000
53,-2.600000,-0.620000
54,-2.560000,-0.640000
55,-2.560000,-0.640000
56,-2.520000,-0.660000
57,-2.480000,-0.680000
58,-2.440000,-0.700000
59,-2.400000,-0.700000
60,-2.360000,-0.720000
61,-2.320000,-0.740000
62,-2.280000,-0.740000
63,-2.240000,-0.760000
64,-2.200000,-0.780000
65,-2.160000,-0.780000
66,-2.120000,-0.800000
67,-2.080000,-0.800000
68,-2.040000,-0.820000
69,-1.960000,-0.820000
70,-1.920000,-0.840000
71,-1.880000,-0.840000
72,-1.840000,-0.860000
73,-1.760000,-0.860000
74,-1.720000,-0.860000
75,-1.680000,-0.860000
76,-1.600000,-0.880000
77,-1.520000,-0.880000
78,-1.480000,-0.880000
79,-1.400000,-0.880000
80,-1.360000,-0.900000
81,-1.280000,-0.880000
82,-1.240000,-0.900000
83,-1.160000,-0.900000
84,-1.120000,-0.900000
85,-1.040000,-0.900000
86,-1.000000,-0.920000
87,-0.920000,-0.900000
88,-0.840000,-0.900000
89,-0.760000,-0.900000
90,-0.720000,-0.900000
91,-0.640000,-0.880000
92,-0.560000,-0.880000
93,-0.480000,-0.880000
94,-0.400000,-0.880000
95,-0.360000,-0.880000
96,-0.280000,-0.880000
97,-0.200000,-0.860000
98,-0.160000,-0.860000
99,-0.080000,-0.860000
100,0.000000,-0.840000
101,0.080000,-0.840000
102,0.120000,-0.840000
103,0.200000,-0.820000
104,0.280000,-0.820000
105,0.320000,-0.800000
106,0.400000,-0.780000
107,0.480000,-0.780000
108,0.560000,-0.780000
109,0.640000,-0.760000
110,0.680000,-0.740000
111,0.760000,-0.720000
112,0.840000,-0.700000
113,0.880000,-0.680000
114,0.960000,-0.680000
115,1.040000,-0.660000
116,1.080000,-0.660000
117,1.160000,-0.640000
118,1.200000,-0.620000
119,1.280000,-0.620000
120,1.320000,-0.600000
121,1.400000,-0.580000
122,1.440000,-0.560000
123,1.520000,-0.540000
124,1.560000,-0.520000
125,1.640000,-0.500000
126,1.680000,-0.480000
127,1.760000,-0.460000
128,1.800000,-0.440000
129,1.840000,-0.420000
130,1.920000,-0.400000
131,1.960000,-0.380000
132,2.000000,-0.360000
133,2.040000,-0.340000
134,2.080000,-0.320000
135,2.120000,-0.300000
136,2.160000,-0.280000
137,2.200000,-0.260000
138,2.240000,-0.240000
139,2.280000,-0.220000
140,2.320000,-0.200000
141,2.360000,-0.180000
142,2.400000,-0.160000
143,2.440000,-0.120000
144,2.480000,-0.120000
145,2.520000,-0.080000
146,2.520000,-0.060000
147,2.560000,-0.040000
148,2.560000,-0.020000
149,2.600000,0.000000
150,2.640000,0.020000
151,2.640000,0.040000
152,2.640000,0.080000
153,2.680000,0.100000
154,2.680000,0.120000
155,2.720000,0.140000
156,2.720000,0.160000
157,2.720000,0.180000
158,2.720000,0.200000
159,2.760000,0.220000
160,2.760000,0.240000
161,2.760000,0.260000
162,2.760000,0.280000
163,2.760000,0.320000
164,2.760000,0.320000
165,2.760000,0.360000
166,2.760000,0.360000
167,2.760000,0.380000
168,2.720000,0.400000
169,2.720000,0.420000
170,2.720000,0.440000
171,2.680000,0.460000
172,2.680000,0.480000
173,2.680000,0.500000
174,2.640000,0.520000
175,2.640000,0.540000
176,2.600000,0.560000
177,2.600000,0.580000
178,2.560000,0.580000
179,2.560000,0.600000
180,2.520000,0.620000
181,2.480000,0.640000
182,2.440000,0.640000
183,2.400000,0.660000
184,2.360000,0.680000
185,2.320000,0.700000
186,2.280000,0.700000
187,2.280000,0.720000
188,2.200000,0.720000
189,2.160000,0.740000
190,2.120000,0.760000
191,2.080000,0.760000
192,2.040000,0.780000
193,2.000000,0.780000
194,1.960000,0.800000
195,1.880000,0.800000
196,1.840000,0.800000
197,1.800000,0.820000
198,1.720000,0.820000
199,1.680000,0.840000
200,1.640000,0.840000
201,1.560000,0.840000
202,1.520000,0.840000
203,1.440000,0.860000
204,1.400000,0.860000
205,1.320000,0.860000
206,1.240000,0.860000
207,1.200000,0.860000
208,1.120000,0.860000
209,1.080000,0.880000
210,1.000000,0.860000
211,0.960000,0.880000
212,0.880000,0.880000
213,0.800000,0.880000
214,0.720000,0.880000
215,0.680000,0.880000
216,0.600000,0.860000
217,0.520000,0.860000
218,0.480000,0.860000
219,0.400000,0.840000
220,0.320000,0.840000
221,0.280000,0.840000
222,0.200000,0.840000
223,0.120000,0.820000
224,0.040000,0.820000
225,0.000000,0.820000
226,-0.080000,0.800000
227,-0.160000,0.800000
228,-0.240000,0.780000
229,-0.280000,0.780000
230,-0.360000,0.760000
231,-0.440000,0.760000
232,-0.520000,0.740000
233,-0.560000,0.740000
234,-0.640000,0.720000
235,-0.720000,0.720000
236,-0.800000,0.700000
237,-0.840000,0.680000
238,-0.920000,0.660000
239,-0.960000,0.660000
240,-1.040000,0.640000
241,-1.120000,0.620000
242,-1.160000,0.600000
243,-1.240000,0.600000
244,-1.280000,0.580000
245,-1.360000,0.560000
246,-1.440000,0.540000
247,-1.480000,0.540000
248,-1.560000,0.500000
249,-1.600000,0.500000
250,-1.680000,0.480000
251,-1.720000,0.460000
252,-1.760000,0.440000
253,-1.800000,0.420000
254,-1.880000,0.380000
255,-1.920000,0.360000
256,-1.960000,0.360000
257,-2.040000,0.340000
258,-2.080000,0.320000
259,-2.120000,0.300000
260,-2.160000,0.260000
261,-2.200000,0.240000
262,-2.240000,0.220000
263,-2.280000,0.200000
264,-2.320000,0.180000
265,-2.360000,0.160000
266,-2.400000,0.140000
267,-2.440000,0.120000
268,-2.480000,0.100000
269,-2.480000,0.080000
270,-2.520000,0.060000
271,-2.560000,0.040000
272,-2.600000,0.020000
