Record Length,700
Sample Interval,0.000080
Trig Position,10237
Data Interval,0.001000
Vertical Units,V
Vertical Scale,CH1:2.000000,CH2:0.200000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.050000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.400000,0.232000
2,-0.800000,0.232000
3,-1.120000,0.224000
4,-1.520000,0.216000
5,-1.840000,0.208000
6,-2.160000,0.200000
7,-2.560000,0.200000
8,-2.800000,0.192000
9,-3.120000,0.176000
10,-3.440000,0.168000
11,-3.760000,0.160000
12,-4.000000,0.144000
13,-4.240000,0.040000
14,-4.480000,0.112000
15,-4.720000,0.104000
16,-4.880000,0.040000
17,-5.120000,0.072000
18,-5.280000,0.056000
19,-5.360000,0.040000
20,-5.440000,0.032000
21,-5.600000,0.016000
22,-5.680000,0.000000
23,-5.760000,-0.016000
24,-5.840000,-0.032000
25,-5.760000,-0.048000
26,-5.840000,-0.064000
27,-5.760000,-0.080000
28,-5.760000,-0.088000
29,-5.680000,-0.104000
30,-5.600000,-0.112000
31,-5.440000,-0.128000
32,-5.360000,-0.144000
33,-5.280000,-0.176000
34,-5.040000,-0.168000
35,-4.880000,-0.184000
36,-4.640000,-0.240000
37,-4.400000,-0.200000
38,-4.160000,-0.208000
39,-4.000000,-0.216000
40,-3.600000,-0.224000
41,-3.440000,-0.224000
42,-3.040000,-0.232000
43,-2.720000,-0.240000
44,-2.400000,-0.248000
45,-2.080000,-0.248000
46,-1.760000,-0.256000
47,-1.440000,-0.256000
48,-1.040000,-0.256000
49,-0.720000,-0.248000
50,-0.320000,-0.248000
51,0.080000,-0.256000
52,0.400000,-0.248000
53,0.720000,-0.352000
54,1.200000,-0.256000
55,1.440000,-0.240000
56,1.840000,-0.264000
57,2.160000,-0.232000
58,2.480000,-0.216000
59,2.800000,-0.200000
60,3.120000,-0.184000
61,3.440000,-0.176000
62,3.680000,-0.160000
63,3.920000,-0.152000
64,4.240000,-0.136000
65,4.480000,-0.128000
66,4.640000,-0.112000
67,4.800000,-0.104000
68,5.040000,-0.080000
69,5.200000,-0.064000
70,5.280000,-0.056000
71,5.440000,-0.040000
72,5.520000,-0.016000
73,5.600000,-0.008000
74,5.600000,-0.032000
75,5.680000,0.016000
76,5.680000,-0.016000
77,5.600000,0.040000
78,5.600000,0.064000
79,5.520000,0.080000
80,5.440000,0.096000
81,5.280000,0.112000
82,5.200000,0.120000
83,5.040000,0.136000
84,4.880000,0.144000
85,4.640000,0.152000
86,4.400000,0.168000
87,4.160000,0.168000
88,3.920000,0.184000
89,3.600000,0.192000
90,3.360000,0.200000
91,3.040000,0.208000
92,2.720000,0.216000
93,2.320000,0.136000
94,2.080000,0.208000
95,1.680000,0.224000
96,1.440000,0.168000
97,1.040000,0.224000
98,0.640000,0.232000
99,0.320000,0.232000
100,-0.080000,0.232000
101,-0.480000,0.232000
102,-0.800000,0.232000
103,-1.120000,0.224000
104,-1.440000,0.224000
