Record Length,700
Sample Interval,0.000016
Trig Position,10232
Data Interval,0.000100
Vertical Units,V
Vertical Scale,CH1:2.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.005000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.240000,0.660000
2,-0.480000,0.660000
3,-0.720000,0.640000
4,-0.880000,0.600000
5,-1.120000,0.580000
6,-1.360000,0.540000
7,-1.520000,0.500000
8,-1.680000,0.480000
9,-1.920000,0.440000
10,-2.160000,0.380000
11,-2.240000,0.360000
12,-2.400000,0.300000
13,-2.560000,0.260000
14,-2.720000,0.200000
15,-2.800000,0.180000
16,-2.960000,0.120000
17,-3.040000,0.080000
18,-3.200000,0.020000
19,-3.280000,-0.020000
20,-3.360000,-0.060000
21,-3.440000,-0.120000
22,-3.520000,-0.160000
23,-3.520000,-0.200000
24,-3.520000,-0.240000
25,-3.600000,-0.280000
26,-3.600000,-0.340000
27,-3.600000,-0.360000
28,-3.600000,-0.400000
29,-3.600000,-0.440000
30,-3.520000,-0.480000
31,-3.440000,-0.520000
32,-3.440000,-0.560000
33,-3.360000,-0.580000
34,-3.200000,-0.620000
35,-3.120000,-0.640000
36,-2.960000,-0.660000
37,-2.800000,-0.660000
38,-2.720000,-0.700000
39,-2.560000,-0.700000
40,-2.400000,-0.720000
41,-2.160000,-0.740000
42,-2.080000,-0.740000
43,-1.760000,-0.740000
44,-1.520000,-0.760000
45,-1.360000,-0.760000
46,-1.120000,-0.740000
47,-0.880000,-0.740000
48,-0.640000,-0.740000
49,-0.480000,-0.720000
50,-0.160000,-0.720000
51,0.000000,-0.700000
52,0.240000,-0.680000
53,0.480000,-0.660000
54,0.720000,-0.620000
55,0.880000,-0.600000
56,1.120000,-0.580000
57,1.280000,-0.540000
58,1.440000,-0.500000
59,1.680000,-0.480000
60,1.840000,-0.440000
61,2.080000,-0.380000
62,2.240000,-0.340000
63,2.400000,-0.300000
64,2.480000,-0.260000
65,2.640000,-0.220000
66,2.800000,-0.180000
67,2.960000,-0.120000
68,3.040000,-0.080000
69,3.120000,-0.040000
70,3.200000,0.000000
71,3.280000,0.080000
72,3.360000,0.120000
73,3.360000,0.160000
74,3.440000,0.200000
75,3.360000,0.240000
76,3.360000,0.220000
77,3.360000,0.260000
78,3.440000,0.380000
79,3.360000,0.380000
80,3.360000,0.440000
81,3.360000,0.480000
82,3.200000,0.500000
83,3.120000,0.540000
84,3.120000,0.560000
85,2.880000,0.600000
86,2.800000,0.620000
87,2.640000,0.640000
88,2.480000,0.660000
89,2.320000,0.680000
90,2.160000,0.700000
91,2.000000,0.700000
92,1.760000,0.720000
93,1.520000,0.720000
94,1.280000,0.720000
95,1.120000,0.720000
96,0.880000,0.720000
97,0.640000,0.720000
98,0.400000,0.700000
99,0.240000,0.720000
100,0.000000,0.700000
101,-0.240000,0.680000
102,-0.560000,0.660000
103,-0.720000,0.540000
104,-0.880000,0.560000
105,-1.120000,0.580000
106,-1.360000,0.540000
107,-1.520000,0.480000
108,-1.680000,0.480000
109,-1.840000,0.440000
110,-2.160000,0.380000
111,-2.240000,0.340000
112,-2.400000,0.320000
113,-2.560000,0.260000
114,-2.720000,0.200000
115,-2.880000,0.160000
116,-2.960000,0.120000
117,-3.120000,0.080000
118,-3.200000,0.020000
119,-3.280000,-0.020000
120,-3.360000,-0.060000
121,-3.440000,-0.120000
122,-3.440000,-0.160000
123,-3.520000,-0.200000
124,-3.520000,-0.240000
125,-3.600000,-0.280000
126,-3.600000,-0.320000
127,-3.600000,-0.380000
128,-3.600000,-0.400000
129,-3.600000,-0.440000
130,-3.520000,-0.480000
131,-3.440000,-0.520000
132,-3.360000,-0.540000
133,-3.280000,-0.580000
134,-3.280000,-0.600000
135,-3.120000,-0.620000
136,-2.960000,-0.660000
137,-2.880000,-0.660000
138,-2.720000,-0.680000
139,-2.560000,-0.700000
140,-2.400000,-0.720000
141,-2.160000,-0.720000
142,-2.000000,-0.740000
143,-1.760000,-0.740000
144,-1.600000,-0.760000
145,-1.360000,-0.760000
146,-1.120000,-0.760000
147,-0.960000,-0.740000
148,-0.640000,-0.740000
149,-0.480000,-0.740000
150,-0.240000,-0.720000
151,0.000000,-0.700000
152,0.240000,-0.700000
153,0.480000,-0.660000
154,0.640000,-0.640000
155,0.880000,-0.600000
156,1.120000,-0.580000
157,1.280000,-0.540000
158,1.520000,-0.520000
159,1.680000,-0.460000
