Record Length,700
Sample Interval,0.000002
Trig Position,10234
Data Interval,0.000020
Vertical Units,V
Vertical Scale,CH1:1.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.001000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-2.360000,0.460000
2,-2.440000,0.440000
3,-2.520000,0.420000
4,-2.560000,0.420000
5,-2.640000,0.400000
6,-2.720000,0.380000
7,-2.760000,0.360000
8,-2.840000,0.340000
9,-2.920000,0.320000
10,-2.960000,0.320000
11,-3.040000,0.300000
12,-3.120000,0.280000
13,-3.160000,0.260000
14,-3.200000,0.260000
15,-3.240000,0.240000
16,-3.320000,0.220000
17,-3.360000,0.200000
18,-3.400000,0.160000
19,-3.440000,0.140000
20,-3.480000,0.140000
21,-3.520000,0.120000
22,-3.560000,0.100000
23,-3.600000,0.080000
24,-3.640000,0.060000
25,-3.680000,0.040000
26,-3.680000,0.020000
27,-3.720000,0.000000
28,-3.760000,-0.020000
29,-3.760000,-0.040000
30,-3.800000,-0.060000
31,-3.800000,-0.080000
32,-3.800000,-0.080000
33,-3.840000,-0.100000
34,-3.840000,-0.120000
35,-3.840000,-0.140000
36,-3.840000,-0.160000
37,-3.840000,-0.180000
38,-3.840000,-0.200000
39,-3.840000,-0.220000
40,-3.840000,-0.240000
41,-3.840000,-0.260000
42,-3.840000,-0.280000
43,-3.840000,-0.300000
44,-3.800000,-0.320000
45,-3.800000,-0.340000
46,-3.760000,-0.340000
47,-3.760000,-0.360000
48,-3.720000,-0.380000
49,-3.720000,-0.400000
50,-3.680000,-0.400000
51,-3.640000,-0.420000
52,-3.600000,-0.440000
53,-3.560000,-0.460000
54,-3.560000,-0.480000
55,-3.480000,-0.480000
56,-3.480000,-0.500000
57,-3.440000,-0.520000
58,-3.360000,-0.540000
59,-3.320000,-0.540000
60,-3.280000,-0.560000
61,-3.200000,-0.580000
62,-3.160000,-0.580000
63,-3.120000,-0.600000
64,-3.080000,-0.600000
65,-3.000000,-0.620000
66,-2.920000,-0.640000
67,-2.840000,-0.640000
68,-2.800000,-0.660000
69,-2.720000,-0.660000
70,-2.640000,-0.680000
71,-2.600000,-0.680000
72,-2.520000,-0.700000
73,-2.440000,-0.700000
74,-2.360000,-0.700000
75,-2.280000,-0.720000
76,-2.200000,-0.720000
77,-2.120000,-0.740000
78,-2.040000,-0.740000
79,-1.960000,-0.740000
80,-1.880000,-0.760000
81,-1.800000,-0.760000
82,-1.680000,-0.760000
83,-1.600000,-0.760000
84,-1.520000,-0.760000
85,-1.440000,-0.780000
86,-1.360000,-0.780000
87,-1.240000,-0.780000
88,-1.160000,-0.780000
89,-1.040000,-0.780000
90,-0.960000,-0.780000
91,-0.880000,-0.780000
92,-0.760000,-0.780000
93,-0.680000,-0.780000
94,-0.600000,-0.780000
95,-0.480000,-0.780000
96,-0.400000,-0.780000
97,-0.280000,-0.780000
98,-0.200000,-0.760000
99,-0.120000,-0.760000
100,0.000000,-0.760000
101,0.080000,-0.760000
102,0.200000,-0.740000
103,0.280000,-0.740000
104,0.360000,-0.740000
105,0.480000,-0.720000
106,0.560000,-0.720000
107,0.680000,-0.720000
108,0.760000,-0.700000
109,0.840000,-0.700000
110,0.920000,-0.680000
111,1.040000,-0.680000
112,1.120000,-0.660000
113,1.200000,-0.660000
114,1.320000,-0.660000
115,1.400000,-0.640000
116,1.480000,-0.620000
117,1.600000,-0.620000
118,1.680000,-0.600000
119,1.760000,-0.600000
120,1.840000,-0.580000
121,1.920000,-0.560000
122,2.000000,-0.560000
123,2.080000,-0.540000
124,2.160000,-0.520000
125,2.240000,-0.520000
126,2.320000,-0.500000
127,2.400000,-0.480000
128,2.480000,-0.460000
129,2.560000,-0.440000
130,2.600000,-0.440000
131,2.680000,-0.420000
132,2.760000,-0.400000
133,2.800000,-0.380000
134,2.880000,-0.360000
135,2.960000,-0.340000
136,3.000000,-0.340000
137,3.080000,-0.320000
138,3.120000,-0.300000
139,3.160000,-0.280000
140,3.240000,-0.260000
141,3.280000,-0.240000
142,3.320000,-0.220000
143,3.360000,-0.200000
144,3.400000,-0.180000
145,3.440000,-0.160000
146,3.480000,-0.140000
147,3.520000,-0.140000
148,3.560000,-0.120000
149,3.600000,-0.100000
150,3.640000,-0.080000
151,3.680000,-0.060000
152,3.680000,-0.040000
153,3.720000,-0.020000
154,3.720000,0.000000
155,3.760000,0.020000
156,3.760000,0.040000
157,3.800000,0.060000
158,3.800000,0.080000
159,3.800000,0.100000
160,3.800000,0.120000
161,3.800000,0.120000
162,3.800000,0.160000
163,3.800000,0.180000
164,3.800000,0.180000
165,3.800000,0.200000
166,3.800000,0.220000
167,3.800000,0.240000
168,3.800000,0.260000
169,3.760000,0.280000
170,3.760000,0.300000
171,3.720000,0.320000
172,3.720000,0.340000
173,3.680000,0.360000
174,3.680000,0.360000
175,3.640000,0.380000
176,3.600000,0.400000
177,3.600000,0.400000
178,3.520000,0.420000
179,3.520000,0.440000
180,3.440000,0.440000
181,3.400000,0.460000
182,3.360000,0.480000
183,3.320000,0.500000
184,3.280000,0.520000
185,3.240000,0.540000
186,3.200000,0.540000
187,3.120000,0.560000
188,3.080000,0.580000
189,3.040000,0.580000
190,2.960000,0.580000
191,2.920000,0.600000
192,2.840000,0.620000
193,2.760000,0.620000
194,2.680000,0.640000
195,2.640000,0.640000
196,2.560000,0.660000
197,2.480000,0.660000
198,2.400000,0.680000
199,2.320000,0.680000
200,2.240000,0.680000
201,2.160000,0.700000
202,2.120000,0.700000
203,2.040000,0.720000
204,1.920000,0.720000
205,1.840000,0.720000
206,1.760000,0.740000
207,1.680000,0.740000
208,1.600000,0.740000
209,1.520000,0.740000
210,1.400000,0.740000
211,1.320000,0.740000
212,1.240000,0.740000
213,1.120000,0.740000
214,1.040000,0.740000
215,0.960000,0.740000
216,0.840000,0.740000
217,0.760000,0.740000
218,0.680000,0.740000
219,0.560000,0.740000
220,0.480000,0.740000
221,0.360000,0.740000
222,0.280000,0.740000
223,0.160000,0.740000
224,0.080000,0.740000
225,0.000000,0.720000
226,-0.120000,0.720000
227,-0.200000,0.720000
228,-0.320000,0.720000
229,-0.400000,0.700000
230,-0.520000,0.700000
231,-0.600000,0.700000
232,-0.680000,0.680000
233,-0.800000,0.680000
234,-0.880000,0.660000
235,-0.960000,0.660000
236,-1.080000,0.640000
237,-1.160000,0.640000
238,-1.240000,0.640000
239,-1.320000,0.620000
240,-1.440000,0.600000
241,-1.520000,0.600000
242,-1.600000,0.580000
243,-1.720000,0.560000
244,-1.800000,0.560000
245,-1.880000,0.560000
246,-1.960000,0.540000
247,-2.040000,0.520000
248,-2.120000,0.500000
249,-2.200000,0.500000
250,-2.280000,0.480000
251,-2.360000,0.460000
252,-2.440000,0.440000
253,-2.520000,0.440000
254,-2.560000,0.420000
255,-2.640000,0.400000
256,-2.720000,0.380000
257,-2.760000,0.360000
258,-2.840000,0.360000
259,-2.920000,0.340000
260,-3.000000,0.320000
261,-3.040000,0.300000
262,-3.120000,0.280000
263,-3.160000,0.260000
264,-3.200000,0.240000
265,-3.280000,0.220000
266,-3.320000,0.200000
267,-3.360000,0.180000
268,-3.400000,0.180000
269,-3.480000,0.160000
270,-3.520000,0.140000
271,-3.520000,0.120000
272,-3.560000,0.100000
