Record Length,700
Sample Interval,0.000016
Trig Position,10221
Data Interval,0.000400
Vertical Units,V
Vertical Scale,CH1:2.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.020000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-3.280000,0.260000
2,-3.360000,0.260000
3,-3.440000,0.240000
4,-3.520000,0.240000
5,-3.680000,0.220000
6,-3.680000,0.220000
7,-3.760000,0.200000
8,-3.920000,0.200000
9,-4.000000,0.200000
10,-4.080000,0.180000
11,-4.160000,0.160000
12,-4.240000,0.160000
13,-4.240000,0.160000
14,-4.320000,0.140000
15,-4.400000,0.120000
16,-4.480000,0.120000
17,-4.560000,0.120000
18,-4.560000,0.100000
19,-4.640000,0.100000
20,-4.720000,0.080000
21,-4.800000,0.080000
22,-4.880000,0.060000
23,-4.880000,0.060000
24,-4.960000,0.040000
25,-4.960000,0.040000
26,-5.040000,0.020000
27,-5.040000,0.020000
28,-5.120000,0.020000
29,-5.120000,0.000000
30,-5.120000,-0.020000
31,-5.200000,-0.020000
32,-5.200000,-0.040000
33,-5.200000,-0.040000
34,-5.200000,-0.060000
35,-5.200000,-0.060000
36,-5.200000,-0.080000
37,-5.280000,-0.080000
38,-5.200000,-0.100000
39,-5.200000,-0.100000
40,-5.200000,-0.120000
41,-5.200000,-0.120000
42,-5.200000,-0.140000
43,-5.200000,-0.140000
44,-5.200000,-0.140000
45,-5.120000,-0.160000
46,-5.120000,-0.160000
47,-5.120000,-0.180000
48,-5.040000,-0.180000
49,-5.040000,-0.200000
50,-4.960000,-0.200000
51,-4.960000,-0.200000
52,-4.960000,-0.220000
53,-4.880000,-0.220000
54,-4.800000,-0.240000
55,-4.800000,-0.240000
56,-4.720000,-0.260000
57,-4.640000,-0.260000
58,-4.560000,-0.260000
59,-4.560000,-0.280000
60,-4.480000,-0.280000
61,-4.400000,-0.300000
62,-4.320000,-0.300000
63,-4.240000,-0.300000
64,-4.160000,-0.300000
65,-4.080000,-0.320000
66,-4.000000,-0.320000
67,-3.920000,-0.320000
68,-3.840000,-0.340000
69,-3.760000,-0.340000
70,-3.600000,-0.340000
71,-3.520000,-0.340000
72,-3.440000,-0.360000
73,-3.280000,-0.360000
74,-3.200000,-0.360000
75,-3.120000,-0.380000
76,-2.960000,-0.380000
77,-2.880000,-0.360000
78,-2.720000,-0.380000
79,-2.640000,-0.380000
80,-2.560000,-0.380000
81,-2.400000,-0.400000
82,-2.320000,-0.400000
83,-2.160000,-0.400000
84,-2.080000,-0.400000
85,-1.920000,-0.400000
86,-1.760000,-0.400000
87,-1.680000,-0.420000
88,-1.520000,-0.420000
89,-1.440000,-0.420000
90,-1.280000,-0.420000
91,-1.120000,-0.420000
92,-1.040000,-0.420000
93,-0.880000,-0.420000
94,-0.800000,-0.420000
95,-0.640000,-0.420000
96,-0.560000,-0.420000
97,-0.400000,-0.420000
98,-0.240000,-0.420000
99,-0.160000,-0.420000
100,0.000000,-0.420000
101,0.160000,-0.420000
102,0.240000,-0.400000
103,0.400000,-0.420000
104,0.560000,-0.400000
105,0.640000,-0.400000
106,0.800000,-0.400000
107,0.960000,-0.400000
108,1.040000,-0.380000
109,1.200000,-0.380000
110,1.360000,-0.380000
111,1.440000,-0.380000
112,1.520000,-0.360000
113,1.600000,-0.380000
114,1.760000,-0.360000
115,1.920000,-0.360000
116,2.000000,-0.340000
117,2.160000,-0.340000
118,2.240000,-0.340000
119,2.320000,-0.340000
120,2.480000,-0.320000
121,2.560000,-0.320000
122,2.640000,-0.300000
123,2.800000,-0.300000
124,2.880000,-0.300000
125,2.960000,-0.280000
126,3.120000,-0.280000
127,3.200000,-0.260000
128,3.280000,-0.260000
129,3.360000,-0.240000
130,3.440000,-0.240000
131,3.600000,-0.220000
132,3.600000,-0.220000
133,3.760000,-0.200000
134,3.840000,-0.200000
135,3.920000,-0.200000
136,4.000000,-0.180000
137,4.000000,-0.180000
138,4.080000,-0.160000
139,4.160000,-0.140000
140,4.240000,-0.140000
141,4.320000,-0.140000
142,4.400000,-0.120000
143,4.400000,-0.120000
144,4.480000,-0.100000
145,4.560000,-0.100000
146,4.560000,-0.080000
147,4.640000,-0.080000
148,4.720000,-0.080000
149,4.720000,-0.060000
150,4.800000,-0.040000
151,4.800000,-0.040000
152,4.880000,-0.020000
153,4.880000,-0.020000
154,4.960000,0.000000
155,4.960000,0.000000
156,5.040000,0.020000
157,5.040000,0.020000
