Record Length,700
Sample Interval,0.000080
Trig Position,10236
Data Interval,0.001000
Vertical Units,V
Vertical Scale,CH1:1.000000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.050000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.120000,0.760000
2,-0.240000,0.720000
3,-0.360000,0.680000
4,-0.520000,0.620000
5,-0.680000,0.600000
6,-0.760000,0.540000
7,-0.880000,0.500000
8,-1.000000,0.460000
9,-1.160000,0.360000
10,-1.280000,0.380000
11,-1.400000,0.320000
12,-1.520000,0.260000
13,-1.600000,0.200000
14,-1.720000,0.160000
15,-1.840000,0.100000
16,-1.920000,0.060000
17,-2.000000,0.000000
18,-2.120000,-0.060000
19,-2.160000,-0.120000
20,-2.200000,-0.160000
21,-2.280000,-0.220000
22,-2.280000,-0.260000
23,-2.360000,-0.320000
24,-2.360000,-0.360000
25,-2.400000,-0.400000
26,-2.480000,-0.580000
27,-2.400000,-0.520000
28,-2.360000,-0.560000
29,-2.440000,-0.640000
30,-2.360000,-0.620000
31,-2.320000,-0.660000
32,-2.240000,-0.700000
33,-2.200000,-0.720000
34,-2.120000,-0.760000
35,-2.040000,-0.780000
36,-1.960000,-0.820000
37,-1.880000,-0.840000
38,-1.760000,-0.860000
39,-1.680000,-0.860000
40,-1.560000,-0.880000
41,-1.400000,-0.880000
42,-1.280000,-0.900000
43,-1.160000,-0.880000
44,-1.000000,-0.900000
45,-0.880000,-0.900000
46,-0.720000,-1.000000
47,-0.560000,-0.880000
48,-0.400000,-0.840000
49,-0.320000,-0.900000
50,-0.120000,-0.820000
51,0.000000,-0.780000
52,0.120000,-0.760000
53,0.280000,-0.720000
54,0.400000,-0.680000
55,0.560000,-0.640000
56,0.680000,-0.600000
57,0.800000,-0.560000
58,0.960000,-0.520000
59,1.080000,-0.460000
60,1.200000,-0.420000
61,1.320000,-0.360000
62,1.440000,-0.320000
63,1.560000,-0.260000
64,1.640000,-0.200000
65,1.760000,-0.160000
66,1.800000,-0.160000
67,1.920000,-0.060000
68,2.040000,0.000000
69,2.080000,0.020000
70,2.160000,0.120000
71,2.200000,0.160000
72,2.280000,0.200000
73,2.320000,0.260000
74,2.320000,0.320000
75,2.360000,0.360000
76,2.400000,0.400000
77,2.360000,0.460000
78,2.360000,0.500000
79,2.320000,0.540000
80,2.280000,0.580000
81,2.280000,0.620000
82,2.200000,0.660000
83,2.160000,0.700000
84,2.080000,0.740000
85,2.000000,0.760000
86,1.920000,0.780000
87,1.760000,0.660000
88,1.720000,0.820000
89,1.520000,0.780000
90,1.440000,0.840000
91,1.280000,0.860000
92,1.160000,0.860000
93,1.040000,0.880000
94,0.920000,0.880000
95,0.760000,0.860000
96,0.600000,0.860000
97,0.440000,0.840000
98,0.320000,0.820000
99,0.160000,0.800000
100,0.040000,0.780000
101,-0.120000,0.740000
102,-0.240000,0.720000
103,-0.400000,0.680000
104,-0.480000,0.640000
105,-0.640000,0.600000
106,-0.800000,0.460000
107,-0.920000,0.520000
108,-1.040000,0.460000
109,-1.160000,0.380000
110,-1.280000,0.360000
111,-1.400000,0.320000
112,-1.520000,0.260000
113,-1.640000,0.200000
114,-1.720000,0.160000
115,-1.840000,0.100000
116,-1.920000,0.060000
117,-2.000000,0.000000
118,-2.080000,-0.060000
119,-2.160000,-0.120000
120,-2.200000,-0.160000
121,-2.280000,-0.220000
122,-2.280000,-0.260000
123,-2.360000,-0.320000
124,-2.360000,-0.360000
125,-2.400000,-0.420000
126,-2.480000,-0.580000
127,-2.400000,-0.500000
128,-2.400000,-0.540000
129,-2.440000,-0.620000
130,-2.360000,-0.620000
131,-2.320000,-0.660000
132,-2.240000,-0.700000
133,-2.200000,-0.720000
134,-2.160000,-0.760000
135,-2.040000,-0.800000
136,-1.960000,-0.820000
137,-1.880000,-0.840000
138,-1.760000,-0.860000
139,-1.680000,-0.860000
140,-1.560000,-0.880000
141,-1.440000,-0.880000
142,-1.280000,-0.900000
143,-1.160000,-0.900000
144,-1.000000,-0.880000
145,-0.880000,-0.880000
146,-0.760000,-0.920000
147,-0.560000,-0.860000
148,-0.400000,-0.880000
149,-0.320000,-0.840000
150,-0.120000,-0.820000
151,0.000000,-0.780000
152,0.160000,-0.760000
153,0.280000,-0.720000
154,0.400000,-0.680000
155,0.560000,-0.640000
156,0.680000,-0.600000
157,0.800000,-0.560000
158,0.960000,-0.520000
159,1.040000,-0.460000
160,1.200000,-0.400000
161,1.320000,-0.360000
162,1.400000,-0.300000
163,1.560000,-0.260000
164,1.640000,-0.200000
165,1.760000,-0.260000
166,1.840000,-0.120000
167,1.960000,-0.060000
168,2.000000,-0.020000
169,2.080000,0.060000
170,2.160000,0.120000
171,2.240000,0.160000
172,2.280000,0.220000
173,2.320000,0.280000
174,2.320000,0.320000
175,2.360000,0.360000
176,2.360000,0.420000
177,2.360000,0.460000
178,2.360000,0.500000
179,2.360000,0.540000
180,2.280000,0.580000
181,2.280000,0.620000
182,2.240000,0.660000
183,2.120000,0.700000
184,2.080000,0.720000
185,1.960000,0.700000
186,1.920000,0.780000
187,1.760000,0.800000
188,1.680000,0.780000
189,1.560000,0.840000
190,1.440000,0.860000
191,1.320000,0.860000
192,1.200000,0.860000
193,1.040000,0.880000
194,0.920000,0.880000
195,0.760000,0.860000
196,0.600000,0.840000
197,0.480000,0.840000
198,0.320000,0.820000
199,0.200000,0.780000
200,0.040000,0.760000
201,-0.120000,0.740000
202,-0.240000,0.720000
203,-0.360000,0.680000
204,-0.520000,0.640000
205,-0.640000,0.500000
206,-0.760000,0.560000
207,-0.920000,0.520000
208,-1.040000,0.440000
209,-1.160000,0.400000
210,-1.280000,0.360000
211,-1.400000,0.300000
212,-1.520000,0.260000
213,-1.600000,0.200000
214,-1.720000,0.160000
215,-1.840000,0.100000
216,-1.920000,0.060000
217,-2.040000,0.000000
218,-2.080000,-0.060000
219,-2.160000,-0.120000
220,-2.200000,-0.160000
221,-2.240000,-0.220000
222,-2.320000,-0.260000
223,-2.320000,-0.320000
224,-2.400000,-0.360000
225,-2.440000,-0.520000
226,-2.400000,-0.460000
227,-2.480000,-0.580000
228,-2.400000,-0.560000
229,-2.360000,-0.600000
230,-2.360000,-0.620000
231,-2.320000,-0.660000
232,-2.280000,-0.700000
233,-2.200000,-0.740000
234,-2.120000,-0.760000
235,-2.080000,-0.780000
236,-1.960000,-0.820000
237,-1.920000,-0.840000
238,-1.800000,-0.860000
239,-1.680000,-0.860000
240,-1.520000,-0.880000
241,-1.400000,-0.880000
242,-1.240000,-0.880000
243,-1.120000,-0.880000
244,-1.000000,-0.900000
245,-0.960000,-1.040000
246,-0.720000,-0.880000
247,-0.600000,-0.900000
248,-0.400000,-0.860000
249,-0.280000,-0.840000
250,-0.160000,-0.820000
251,0.040000,-0.780000
252,0.160000,-0.760000
253,0.280000,-0.720000
254,0.400000,-0.680000
255,0.560000,-0.640000
256,0.680000,-0.600000
257,0.800000,-0.560000
258,0.920000,-0.500000
259,1.080000,-0.460000
260,1.200000,-0.420000
261,1.320000,-0.360000
262,1.400000,-0.320000
263,1.520000,-0.260000
264,1.640000,-0.200000
265,1.680000,-0.240000
266,1.840000,-0.100000
267,1.920000,-0.060000
268,2.000000,0.000000
269,2.080000,0.040000
270,2.160000,0.100000
